*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
CO-G-1HUE-RAW,Guatamala - NEW HUEHUETANANGO,"Green Coffee Beans, Guatemala - NEW HUEHUETANGO",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-G-ASOBA-RAW,Guatamala - ASOBAGRI - Green C,"Green Coffee Beans, Guatemala - ASOBAGRI",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-G-HUEHU-RAW,Guatamala - HUEHUETENANGO - Gr,"Green Coffee Beans, Guatemala - HUEHUETENANGO",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-M-CHIAP-RAW,Mexico - CHIAPAS  - Green Coff,"Green Coffee Beans, Mexico - CHIAPAS",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-M-DECAF-RAW,Mexico - DECAF - Green Coffee,"Green Coffee Beans, Mexico - DECAF",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-O-KIVU3-RAW,Congo - KIVU 3 - Green Coffee,"Green Coffee Beans, Congo - KIVU 3",$0.00 ,51100,VS5 - VAT on Sales (5%),,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-HARA4-RAW,Ethiopia - HARAR 4 - Green Co,"Green Coffee Beans, Euthiopia - HARAR 4",$0.00 ,51100,VS5 - VAT on Sales (5%),,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-HARA2-RAW,Ethiopia - HARAR 2 - Green Co,"Green Coffee Beans, Euthiopia - HARAR 2",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-SIDA4-RAW,Ethiopia - SIDAMO 4 - Green C,"Green Coffee Beans, Euthiopia - SIDAMO 4",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-SIDA2-RAW,Ethiopian - SIDAMO 2 - Green C,"Green Coffee Beans, Ethiopian - SIDAMO 2",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-SIDA1-RAW,Ethiopia - SIDAMO 1 - Green Co,"Green Coffee Beans, Euthiopia - SIDAMO",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-YIRGA-RAW,Ethiopia - YIRGACHEFFE 2 - Gr,"Green Coffee Beans, Euthiopia - YIRGACHEFFE 2",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-E-JIMMA-RAW,Ethiopia - JIMMA - Green Coff,"Green Coffee Beans, Euthiopia - JIMMA",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CO-U-MTELG-RAW,Uganda - MOUNT ELGON  - Green,"Green Coffee Beans, Uganda - MOUNT ELGON",$0.00 ,51100,VS5 - VAT on Sales (5%),X,$100.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CG-PG0169,Costa Rica Palmichal Frailes,,$0.00 ,51100,VRX - VAT on Purchases (Reverse) (5%),,$0.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
CG-PG0191,Mexico Arabica SHG EP Muxbal ,,$0.00 ,51100,N-T - Not Reportable,,$0.00 ,41100,VS5 - VAT on Sales (5%),13110,51100
EB-COLDBR,Cold Brew,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$20.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-COLDBR-I,Cold Brew on Ice,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$20.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-COLDBR-S,Cold Brew Add Soda,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$22.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-COLDBR-T,Cold Brew Add Tonic,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$22.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-COLDBR-G,Cold Brew Add Ginger Ale,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$22.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-NITROCB,Nitro Cold Brew,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$25.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-LATTE-CB,Cold Brew with Milk Latte,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$24.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-MOCHA-CB,Cold Brew with Milk Mocha,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$26.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-HEARTS,Cold Brew w Milk Heart Starter,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$27.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-FITNESS,Cold Brew w Milk Fitness Blend,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$27.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-MOCK-1,Mocktail 1,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$30.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-MOCK-2,Mocktail 2,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$30.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-DECAF,Add On - Decaf,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$2.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
EB-ALMSOY,Add On - Almond/Soya Milk,,$0.00 ,52140,VS5 - VAT on Sales (5%),,$5.00 ,42140,VS5 - VAT on Sales (5%),13314,52140
CL-1 LITRE-2,Cold Brew 1 Liter(Regular),,,52160,,,$52.50 ,42160,VS5 - VAT on Sales (5%),13316,52160
CL-1 LITRE-1,Cold Brew 1 Liter(Strong),,,52160,,,$89.25 ,42160,VS5 - VAT on Sales (5%),13316,52160
CL-NITRO-RAW,Rocketfuel - Nitro Keg 9L,Rocketfuel - Nitro Keg 9L,,52160,,,$898.00 ,42160,VS5 - VAT on Sales (5%),13230,52160
CL-BLKCP-RAW,Rocket Fuel - Black Cap 200ml,Rocket Fuel - Black Cap 200ml,,52160,,X,$26.25 ,42160,VS5 - VAT on Sales (5%),13220,52160
CL-REDCP-RAW,Rocket Fuel - Red Cap 200ml,Rocket Fuel - Red Cap 200ml,,52160,,X,$15.75 ,42160,VS5 - VAT on Sales (5%),13220,52160
EG-M-KF1800-HEM,KF1800 Industrial Grinder,,$0.00 ,53110,VRX - VAT on Purchases (Reverse) (5%),,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-TWINBIG,"Twin Big blue sediment, Carbon","Twin Big blue sediment, Carbon, Quad MC with UV home 4",$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-TANK20LTR,"Aqua cleer slim system, E-10 P","Aqua cleer slim system, E-10 Prefilter, 20 Ltr Pressure Tank",$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EG-N-MYTNS-EUR,Mythos (Victoria Arduino),"Coffee Grinder, MYTHOS (Victoria Arduino) CGNSM1","$5,096.57 ",53110,VS5 - VAT on Sales (5%),X,"$8,925.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
LPAINT 1G,Color Customization 1G,Colour Customization 1G,$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$1,500.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-J-SAK84-EAT,Single Electric Sand Burner,Turkish Coffee Maker Single - Johny - AK8-4,$0.00 ,53110,VS5 - VAT on Sales (5%),,"$2,550.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-L-LLUXD-BON,La Marzocco - Lux D Grinder,,"$3,200.00 ",53110,VS5 - VAT on Sales (5%),,"$4,200.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EM-L-LPB2G-BON,Linea PB 2 Group  (La Marzoc,"Espresso Machine, Linea PB   2 Group  (La Marzocco) CMLMLPB2GR","$27,500.00 ",53110,VS5 - VAT on Sales (5%),X,"$35,000.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-K30SM-BON,Mahlkonig Single K30 Vario Air,Mahlkonig Single Espresso Grinder K30 VARIO AIR,"$6,400.00 ",53110,VS5 - VAT on Sales (5%),X,"$8,925.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-V-BLEND-BON,"Blender, Vitamix""",Vitamix - The Quiet One Blender,"$4,990.00 ",53110,VS5 - VAT on Sales (5%),X,"$5,800.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-X-FLOJE-BRE,Flojet (Xylem),"Accessories, Xylem Flojet",$740.00 ,53110,VS5 - VAT on Sales (5%),X,"$1,260.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-J-DAK81-EAS,Double Electric Sand Burner,Turkish Coffee Maker Double - Johny - AK8-1,$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$3,240.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-M-FA22L-MAR,Filtro Airpot 2.2L  (Marco),Filtro Airpot 2.2L  (Marco),$220.00 ,53110,VS5 - VAT on Sales (5%),X,$295.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-M-ECOT5-MAR,Ecoboiler T5 (Marco),Marco Ecoboiler T5. 2.8Kw 5.0L 126 cups per hour MEBT5,$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$2,550.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-REK43-BON,Robust EK43 (Mahlkonig),"Coffee Grinder, Robust EK43 (Mahlkonig)","$8,500.00 ",53110,VPX - VAT on Purchases (5%),X,"$11,445.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-EK43T-BON,Robust EK43T (Mahlkonig),"Coffee Grinder, Robust EK43T (Mahlkonig)","$8,500.00 ",53110,VS5 - VAT on Sales (5%),,"$11,445.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-E-MBELE-BRE,Elegance Micro Burner,Micro burner for Syphon (Elegance) BGMB,$152.68 ,53110,VS5 - VAT on Sales (5%),X,$323.81 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-M-J6BRE-MAR,Marco - Jet 6 - Brewing Unit,Marco UC Jet 6 brewer 1000851,$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$11,865.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-J6BF6-MAR,"Marco, Jet 6 Brewer Flask  6",Marco Jet 6 flask 6 litre,"$1,180.52 ",53110,VS5 - VAT on Sales (5%),X,"$2,625.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-JET6H-MAR,JET 6 Grinder (Marco),"Coffee Grinder, JET 6 (Marco) 1000891","$5,674.00 ",53110,VS5 - VAT on Sales (5%),X,"$9,135.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-M-ECOPB10-MAR,UC Ecosmart PB10,UC Ecomaster PB10,"$3,040.00 ",53110,VS5 - VAT on Sales (5%),X,"$4,290.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-Z-WATER-ZER,Refresh G Plus32-Undercounter,"Refresh G Plus32:Water Dispenser Cold, Ambient and Sparkling - Coil,1/3,Hp, Inox,230V1.50 - Undercounter",$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$12,595.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-WTETNK-150L,"Water Tank of 150L, with Pump","Water Tank of 150L, with a high pressure pump",$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-MC-BIGBLUE-H2,Single Bigblue with Triple MC,Single Bigblue with Triple MC system and UV home 2 for mainline,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-MIXTRPTRAY-MAR,Marco - MIX Driptray Kit,Marco - MIX Driptray Kit 2300268,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-FONT3TEMP-MAR,Marco Font 3 temp-no driptray,Marco Font 3 temp - no driptray 1000879,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-UC3MIXBOIL-MAR,Marco UC3 Mix boiler,Marco UC3 Mix boiler 1000880,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-UC4BOIL-MAR,Marco EcoSMART boiler UC4,Marco EcoSMART boiler UC4 1000740,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-UBER2FONT-MAR,Marco Uber 2 Font,Marco Uber 2 Font 1000811,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-B-MICT8-MAR,Marco Mix T8,Marco Mix T8 1000871,$0.00 ,53110,VPX - VAT on Purchases (5%),X,$0.00 ,43110,VS5 - VAT on Sales (5%),13410,53110
EQ-M-BRYF6-BRE,Marco BRU F60M,Marco BRU F60M,$0.00 ,53110,VS5 - VAT on Sales (5%),X,"$1,650.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-DK27LVH-BON,Ind Grinder DK27LVH(Mahlkonig),MAHLKONIG INDUSTRIAL GRINDER - DK27 LVH,$0.00 ,53110,VPX - VAT on Purchases (5%),X,"$8,610.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-REK43S-BON,Robust EK43 S (Mahlkonig),"Coffee Grinder, Robust EK43 S (Mahlkonig)",$0.00 ,53110,VPX - VAT on Purchases (5%),X,"$11,445.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EM-J-AK85,Johnny AK84 Coffee Machines,,$0.00 ,53110,VPX - VAT on Purchases (5%),,"$2,150.40 ",43110,VS5 - VAT on Sales (5%),13410,53110
EG-M-K30TWIN-BON,Mahlkonig Twin K30,,$0.00 ,53110,VPX - VAT on Purchases (5%),,"$16,275.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-SLIMRO 120,Culligan Slim Plus RO 120 LPH,,$0.00 ,53110,VS5 - VAT on Sales (5%),,"$9,350.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-DOLOMITE 120,Culligan Slim Plus RO 120 LPH,,$0.00 ,53110,VS5 - VAT on Sales (5%),,"$9,350.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-SLIMRO 60,Culligan Slim RO 60 LPH,,$0.00 ,53110,VS5 - VAT on Sales (5%),,"$7,960.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
EQ-WF-DOLOMITE 60,Culligan Slim RO 60 LPH,,$0.00 ,53110,VS5 - VAT on Sales (5%),,"$7,960.00 ",43110,VS5 - VAT on Sales (5%),13410,53110
SR-C-SCALES-CFT,Scales to 2kg in 0.1g Resoluti,Scales to 2kg in 0.1g resolution,$0.00 ,53210,VS5 - VAT on Sales (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-C-MOISTMTR-CFT,Total Moisture Meter Kit,,$0.00 ,53210,VS5 - VAT on Sales (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-BG-GOOSEKETTLEgunM,"Brewista Artisan 600ML, Gunmet","Brewista Artisan 600ML, Gunmetal Grey",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$588.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-CARAFES-AMAZ,1.5 - 2L Insulated Carafes,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
EQ-S-AIRP-SPEEDEX,Airpots (2.5L),,$0.00 ,53210,VPX - VAT on Purchases (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR- NS-PORTAFILTER NS,Nouva Simonelli Portafilter,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-KNOCK-ROD,Knock Box Rod ,,$40.00 ,53210,VPX - VAT on Purchases (5%),,$75.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-BEAMH-BRE,Smart Beamheater - Hario,Smart Beamheater (Touch type) - Hario,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-AEPDSK-BRE,Able-Aeropress Disk Filter,Able-Aerobie Aeropress Disk Coffee Filter-Standard,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$60.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-K-SPINJET-BRE,Rhino™ 600mm Spinjet Rinser wi,Rhino™ 600mm Spinjet Rinser with Blender Attachment,$0.00 ,53210,VPX - VAT on Purchases (5%),X,"$2,000.00 ",43210,VS5 - VAT on Sales (5%),13420,53210
SR-BG-BREWISTA-BRE,Brewista Silver Smart Scale,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$360.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-C-EVO50-BRE1,EVO Espresso Cleaner 500g,"Cleaner,  Cafetto Evo Cleaner 500g Organic CAEVO500",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$99.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-P-HANDSEAL-UNI,Hand Sealer,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-B-BAMBSTRA-HATT,Bamboo Straws – Box of 6pcs,Bamboo Straws – Box of 6pcs with wire brush cleaner,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$50.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-B-BAMBCUT-SET,Bamboo Cutlery-Set,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$52.50 ,43210,VPX - VAT on Purchases (5%),13420,53210
SR-KRARTPEN-BRE,Krome  - Latte Art Pen,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$37.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-AC100-COF,Jura Auto Cap. Cleaner 100ml,,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$37.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-V-FLTRBSKT-BRE,Marco Filter Basket for Brew,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$130.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-BG-GOOSEKETTLERNB,Brewista Artisan 600 ML Rainbo,Brewista Artisan 600 ML Rainbow,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$588.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-BG-GOOSEKETTLESLV,Brewista Artisan 600 ML Silver,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$588.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-O-ORIGAMI-BREP,"Origami Dr M, with Holder Pink","Origami Dripper M, with Holder, Pink",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$168.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-O-ORIGAMI-BREPU,"Origami Dr M, wi Holder Purple","Origami Dripper M, with Holder, Purple",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$168.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-O-ORIGAMI-BRER,"Origami Dri M, with Holder Red","Origami Dripper M, with Holder, Red",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$168.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-O-ORIGAMI-BRET,"Origami Dr M, wth Holder Turqu","Origami Dripper M, with Holder, Turquoise",$0.00 ,53210,VPX - VAT on Purchases (5%),X,$168.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-LPESAB-VAR,Acaia Lunar Smart Scale White,Acaia Lunar Professional Espresso Smart Scale,$0.00 ,53210,VPX - VAT on Purchases (5%),X,"$1,150.00 ",43210,VS5 - VAT on Sales (5%),13420,53210
SR-I-RAWCDR-IVY,RAW Distributor 58mm Red,Distributor Tamper 58mm (Red) - (RAW Coffee Company),$0.00 ,53210,N-T - Not Reportable,X,$262.50 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-I-FT58MS-IVY,RAW Push Tamper 58mm Silver,Flat Push Tamper 58mm Silver (RAW Company),$0.00 ,53210,N-T - Not Reportable,X,$262.50 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-LARARTPIT-BRE,Rattleware - Latte Art Pitcher,,$0.00 ,53210,VPX - VAT on Purchases (5%),,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-I-FT58MG-IVY,RAW Push Tamper 58mm Golden,Flat Push Tamper 58mm Golden (RAW Company),$0.00 ,53210,VPX - VAT on Purchases (5%),X,$262.50 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-I-FT58MBL-IVY,RAW Push Tamper 58mm Blue,Flat Push Tamper 58mm Blue (RAW Company),$0.00 ,53210,VPX - VAT on Purchases (5%),X,$262.50 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-I-RAWCDG-IVY,RAW Distributor 58mm Golden,Distributor Tamper 58mm (Golden) - (RAW Coffee Company),$0.00 ,53210,VPX - VAT on Purchases (5%),X,$262.50 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-AEPREGO-BRE,AeroPress GO Coffee Press Make,AeroPress GO Coffee Press Maker,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
TAMPERS,Free Tampers for Barista,Free Tampers for Barista,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$0.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-F-FFPCL-BRE,Filtropa Filter for Clever Lar,Filtropa -  Filter for Clever Large,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$45.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-M-BRUFI-BRE,Marco BRU Filter Pack,Marco BRU Filter Pack,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$131.25 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-K-KWAVE-BRE,Kalita Wave Filter 185 (100ct),Kalita Wave 185 White Filter(100ct),$0.00 ,53210,VS5 - VAT on Sales (5%),X,$60.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-C-CTCPL-BRE,Cezve Turkish Coffee Pot Large,Cezve Turkish Coffee Pot Large,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$325.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-R-TFSKT-BRE,"Knockbox, Free Standing, Rhino",Knockbox - Free Standing - Rhinoware,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$578.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-A-FPCM1-BEL,FrenchPress Automatic Lock 32o,Automatic Lock French Press 1000ml (A039),$0.00 ,53210,VS5 - VAT on Sales (5%),X,$160.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-R-RW12M-BRE,"Milk Jug, 360ml 12oz Rhinoware","Milk Jug, 360ml 12oz Rhinoware",$0.00 ,53210,VS5 - VAT on Sales (5%),X,$89.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-B-HDGC-BRE,Hario Coffee Press Double,,$0.00 ,53210,VPX - VAT on Purchases (5%),X,$428.57 ,43210,VS5 - VAT on Sales (5%),13420,53210
EG-E-SPECIAL-EUR,Eureka Specialita,,$0.00 ,53210,VRX - VAT on Purchases (Reverse) (5%),,"$2,895.00 ",43210,VS5 - VAT on Sales (5%),13420,53210
SR-K-KAWAVE-BRE,Kalita Wave Filter 185 (50ct),,$0.00 ,53210,VPX - VAT on Purchases (5%),,$30.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-O-ORIGAMI-BREN,"Origami Dr M, with Holder Blue","Origami Dripper M, with Holder, Navy Blue",$0.00 ,53210,VPX - VAT on Purchases (5%),,$168.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
SR-Gasket Kit-Rhino,Rhinser Gasket Kit -Rhino,,$95.00 ,53210,VPX - VAT on Purchases (5%),,$150.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-CWFJC-COF,Jura Claris Water Filter,Care Products - Jura Claris Water Filter,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$100.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-CFBJC-COF,Jura Claris Filter Blue,Care Products - Jura Claris Filter Blue,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$100.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-CFSJC-COF,Jura Claris Filter Smart,Care Products - Jura Claris Filter Smart,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$100.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-CT6TB-COF,Jura Cleaning Tablets (6/box),Care Products - Jura Cleaning Tablets (box of 6 tables),$0.00 ,53210,VPX - VAT on Purchases (5%),X,$95.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-DT3SB-COF,Jura Declacifying Tablets (3),Care Products - Jura Decalcifying Tablets (box of 3 slots),$0.00 ,53210,VS5 - VAT on Sales (5%),X,$95.24 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-AC250-COF,Jura Auto Cap. Cleaner 250ml,Care Products - Jura Auto Cappuccino Cleaner 250ml,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$65.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-SSVMC-COF,Jura SS Vacuum Milk Cont.,Accessories - Stainless Steel Vacuum Milk Container,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$330.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-PCFJA-COF,Jura Prof. Cap. Frother,Accessories - Jura Prof. Cappuccino Frother,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$240.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-AMFJA-COF,Jura Automatic Milk Frother,Accessories - Automatic Milk Frother,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$375.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-CWCRJ-COF,Jura Cup Warmer Consumer Relau,Accessories - Jura Cup Warmer Consumer Relaunch,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$995.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-PICCO-COF,Jura Piccolo Milk Fridge,Accessories - Piccolo Milk Fridge,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$780.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
JR-J-COOLC-BRE,Jura Cool Control Basic 1L,Accessories - Cool Control Basic 1L,$0.00 ,53210,VS5 - VAT on Sales (5%),X,$790.00 ,43210,VS5 - VAT on Sales (5%),13420,53210
